alpha,alpha3,average_cost,batch_size,critic1 error,critic2 error,entropy,eplenmean,eplrewmean,eprewmean,lr_a,lr_c,lr_l,lyapunov error,lyapunov_lambda,policy_loss,target_entropy,tau,total_timesteps
0.03789646,,0.09278828247819583,,1.9012911,2.0082014,-0.9722419,250.0,0.0,23.197070619548956,7.133566666666666e-05,0.00021400699999999997,0.00021400699999999997,12.281149,1.0,17.8348,,,86016
0.03700524,,0.10430098490783223,,2.0709488,2.1824255,-1.0076126,250.0,0.0,26.075246226958058,7.066900000000001e-05,0.000212007,0.000212007,12.090052,1.0,17.239948,,,88064
0.036813214,,0.10200624426998106,,1.3983514,1.4493418,-0.9883087,250.0,0.0,25.501561067495267,7.000233333333333e-05,0.00021000699999999998,0.00021000699999999998,11.418711,1.0,16.952902,,,90112
0.03614173,,0.11173927055710589,,1.6794393,1.7323529,-0.95322895,250.0,0.0,27.934817639276474,6.933566666666667e-05,0.00020800699999999996,0.00020800699999999996,10.817405,1.0,16.450375,,,92160
0.035220098,,0.13916625560238588,,1.1028401,1.1963366,-0.92142546,250.0,0.0,34.79156390059647,6.8669e-05,0.000206007,0.000206007,9.578502,1.0,16.113207,,,94208
0.033657156,,0.08462228525339215,,1.5818245,1.6691879,-0.888837,250.0,0.0,21.155571313348037,6.7919e-05,0.00020375699999999997,0.00020375699999999997,10.382364,1.0,15.844458,,,96256
0.03256019,,0.14246427321351265,,1.3399984,1.396875,-0.91414326,250.0,0.0,35.616068303378164,6.725233333333333e-05,0.000201757,0.000201757,9.102572,1.0,15.508413,,,98304
0.031804297,,0.09630749407583303,,1.6512499,1.7056395,-0.9477326,250.0,0.0,24.07687351895826,6.658566666666667e-05,0.00019975699999999998,0.00019975699999999998,9.898174,1.0,15.1310215,,,100352
0.031761594,,0.09335917169227355,,1.5898112,1.6647269,-1.0099165,250.0,0.0,23.339792923068387,6.5919e-05,0.00019775699999999996,0.00019775699999999996,10.93054,1.0,14.993477,,,102400
0.031993613,,0.1126484115518713,,1.7387518,1.7995615,-1.0225687,250.0,0.0,28.162102887967826,6.525233333333334e-05,0.000195757,0.000195757,10.198575,1.0,14.279978,,,104448
0.03247453,,0.09307181355414086,,1.2306459,1.3030994,-1.0287756,250.0,0.0,23.267953388535215,6.450233333333333e-05,0.00019350699999999996,0.00019350699999999996,10.51191,1.0,14.052811,,,106496
0.032937594,,0.15759241897470508,,1.2197155,1.2353742,-1.0289929,250.0,0.0,39.39810474367627,6.383566666666667e-05,0.000191507,0.000191507,8.754473,1.0,13.911102,,,108544
0.03310367,,0.16950986544470328,,1.9914505,2.062166,-0.95874137,250.0,0.0,42.37746636117582,6.3169e-05,0.00018950699999999997,0.00018950699999999997,9.484804,1.0,13.48197,,,110592
0.032503553,,0.10714416752819148,,2.0345922,2.120297,-0.9527645,250.0,0.0,26.78604188204787,6.250233333333333e-05,0.00018750699999999995,0.00018750699999999995,8.808406,1.0,13.418492,,,112640
0.031751845,,0.1131149057119039,,1.6841816,1.7547863,-0.9714118,250.0,0.0,28.278726427975975,6.183566666666667e-05,0.00018550699999999998,0.00018550699999999998,9.0634365,1.0,12.785908,,,114688
0.03149224,,0.08932263350058477,,1.4823431,1.5654263,-1.0110185,250.0,0.0,22.330658375146193,6.116900000000001e-05,0.00018350700000000002,0.00018350700000000002,9.094181,1.0,12.865443,,,116736
0.03130766,,0.13948164412297911,,1.5527251,1.6295328,-1.0149186,243.2,0.0,33.92193585070852,6.044166666666666e-05,0.00018132499999999998,0.00018132499999999998,9.707592,1.0,12.953089,,,118784
0.030717602,,0.10844862740341027,,1.5177929,1.6158623,-0.9701721,250.0,0.0,27.112156850852568,5.9775e-05,0.00017932499999999998,0.00017932499999999998,9.466238,1.0,12.694246,,,120832
0.030717012,,0.14156906154016102,,1.258883,1.3270779,-1.0304754,250.0,0.0,35.392265385040254,5.9108333333333345e-05,0.00017732500000000001,0.00017732500000000001,8.880983,1.0,12.604506,,,122880
0.03160711,,0.13354708453222738,,0.97457707,0.98463154,-1.0425487,250.0,0.0,33.38677113305685,5.835833333333334e-05,0.000175075,0.000175075,8.438255,1.0,12.069356,,,124928
0.032475986,,0.0936453496446733,,1.0859834,1.1486512,-1.0525415,250.0,0.0,23.411337411168326,5.7691666666666675e-05,0.00017307500000000002,0.00017307500000000002,8.275954,1.0,12.052923,,,126976
0.03345075,,0.16016945376341074,,1.0549505,1.0938805,-1.047726,250.0,0.0,40.04236344085268,5.7025e-05,0.00017107499999999997,0.00017107499999999997,7.7764373,1.0,11.877007,,,129024
0.034375865,,0.09813311443531764,,0.9175703,0.9425162,-1.0230128,250.0,0.0,24.53327860882941,5.635833333333333e-05,0.00016907499999999998,0.00016907499999999998,8.53266,1.0,11.802021,,,131072
